JPMC(24),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07852375564054044,0.0,0.0,0.0
2%=0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07423905171120661,0.0,0.0,0.0
3%=0.03,0.0,0.0,0.0,0.0703977490444348,0.0703977490444348,0.0,0.0,0.0,0.0703977490444348,0.0,0.0,0.0
4%=0.04,0.0,0.0,0.0,0.13386881177210283,0.13386881177210283,0.0,0.0,0.0,0.06693440588605142,0.0,0.0,0.06693440588605142
5%=0.05,0.0,0.0,0.0,0.12759170945010206,0.12759170945010206,0.0,0.0,0.0,0.06379585472505103,0.0,0.0,0.06379585472505103
6%=0.06,0.0,0.0,0.0,0.18281535648994515,0.18281535648994515,0.0,0.0,0.06093845349136433,0.06093845349136433,0.0,0.0,0.12187690698272866
7%=0.07,0.0,0.0,0.0,0.17497812773403323,0.17497812773403323,0.0,0.0,0.05832604379463505,0.05832604379463505,0.0,0.0,0.1166520875892701
8%=0.08,0.0,0.05592841275176502,0.0,0.2237136510070601,0.2237136510070601,0.0,0.0,0.05592841275176502,0.05592841275176502,0.05592841275176502,0.0,0.11185682550353004
9%=0.09,0.0,0.05372011921632077,0.0,0.2686005867930569,0.2686005867930569,0.0,0.05372011921632077,0.05372011921632077,0.10744023843264154,0.05372011921632077,0.0,0.10744023843264154
10%=0.1,0.0,0.051679587518452724,0.0,0.2583979289959565,0.2583979289959565,0.0,0.051679587518452724,0.051679587518452724,0.10335917503690545,0.051679587518452724,0.0,0.10335917503690545
11%=0.11,0.0,0.04978840018948065,0.0,0.24894199296873898,0.24894199296873898,0.0,0.0995768003789613,0.04978840018948065,0.0995768003789613,0.04978840018948065,0.0,0.0995768003789613
12%=0.12,0.0,0.04803074049842127,0.0,0.2401536950668336,0.2401536950668336,0.04803074049842127,0.09606148099684254,0.04803074049842127,0.09606148099684254,0.04803074049842127,0.0,0.1440922190201729
13%=0.13,0.0,0.09278589808317429,0.0,0.278357689631176,0.278357689631176,0.046392949041587146,0.09278589808317429,0.046392949041587146,0.09278589808317429,0.046392949041587146,0.0,0.139178844815588
14%=0.14,0.04486316805941312,0.08972633611882624,0.0,0.269179004037685,0.269179004037685,0.04486316805941312,0.08972633611882624,0.04486316805941312,0.1345895020188425,0.04486316805941312,0.0,0.1345895020188425
15%=0.15,0.08686210775523602,0.08686210775523602,0.0,0.3040173670246583,0.3040173670246583,0.04343105387761801,0.08686210775523602,0.04343105387761801,0.13029315960912052,0.04343105387761801,0.0,0.13029315960912052
