ant_main(10),TSPageRank,PrideWithMotifCoreness,TSPrideWithMotifCoreness
1%=0.01,0.20000000298023224,0.20000000298023224,0.30000001192092896
2%=0.02,0.5,0.5,0.5
3%=0.03,0.6000000238418579,0.699999988079071,0.699999988079071
4%=0.04,0.699999988079071,0.699999988079071,0.699999988079071
5%=0.05,0.800000011920929,0.699999988079071,0.699999988079071
6%=0.06,0.800000011920929,0.800000011920929,0.800000011920929
7%=0.07,0.800000011920929,0.800000011920929,0.800000011920929
8%=0.08,0.800000011920929,0.800000011920929,0.800000011920929
9%=0.09,0.800000011920929,0.800000011920929,0.8999999761581421
10%=0.1,0.800000011920929,0.800000011920929,0.8999999761581421
11%=0.11,0.800000011920929,0.800000011920929,0.8999999761581421
12%=0.12,0.8999999761581421,0.800000011920929,0.8999999761581421
13%=0.13,0.8999999761581421,0.8999999761581421,0.8999999761581421
14%=0.14,0.8999999761581421,0.8999999761581421,0.8999999761581421
15%=0.15,0.8999999761581421,0.8999999761581421,0.8999999761581421
1%=0.01,0.3333333432674408,0.5,0.5
2%=0.02,0.5,0.75,0.5
3%=0.03,0.75,0.75,0.8333333134651184
4%=0.04,0.9166666865348816,0.9166666865348816,0.9166666865348816
5%=0.05,0.9166666865348816,0.9166666865348816,1.0
6%=0.06,1.0,0.9166666865348816,1.0
7%=0.07,1.0,0.9166666865348816,1.0
8%=0.08,1.0,1.0,1.0
9%=0.09,1.0,1.0,1.0
10%=0.1,1.0,1.0,1.0
11%=0.11,1.0,1.0,1.0
12%=0.12,1.0,1.0,1.0
13%=0.13,1.0,1.0,1.0
14%=0.14,1.0,1.0,1.0
15%=0.15,1.0,1.0,1.0
1%=0.01,0.03703703731298447,0.03703703731298447,0.03703703731298447
2%=0.02,0.1111111119389534,0.1111111119389534,0.1111111119389534
3%=0.03,0.14814814925193787,0.1111111119389534,0.1111111119389534
4%=0.04,0.14814814925193787,0.14814814925193787,0.14814814925193787
5%=0.05,0.2222222238779068,0.2222222238779068,0.2222222238779068
6%=0.06,0.2222222238779068,0.25925925374031067,0.2222222238779068
7%=0.07,0.25925925374031067,0.25925925374031067,0.25925925374031067
8%=0.08,0.25925925374031067,0.29629629850387573,0.29629629850387573
9%=0.09,0.29629629850387573,0.37037035822868347,0.37037035822868347
10%=0.1,0.29629629850387573,0.40740740299224854,0.40740740299224854
11%=0.11,0.3333333432674408,0.40740740299224854,0.40740740299224854
12%=0.12,0.40740740299224854,0.40740740299224854,0.40740740299224854
13%=0.13,0.40740740299224854,0.40740740299224854,0.40740740299224854
14%=0.14,0.40740740299224854,0.40740740299224854,0.40740740299224854
15%=0.15,0.4444444477558136,0.48148149251937866,0.4444444477558136
1%=0.01,0.017543859779834747,0.0,0.017543859779834747
2%=0.02,0.017543859779834747,0.017543859779834747,0.035087719559669495
3%=0.03,0.035087719559669495,0.035087719559669495,0.035087719559669495
4%=0.04,0.035087719559669495,0.035087719559669495,0.035087719559669495
5%=0.05,0.07017543911933899,0.05263157933950424,0.07017543911933899
6%=0.06,0.10526315867900848,0.07017543911933899,0.08771929889917374
7%=0.07,0.12280701845884323,0.08771929889917374,0.12280701845884323
8%=0.08,0.14035087823867798,0.12280701845884323,0.15789473056793213
9%=0.09,0.17543859779834747,0.12280701845884323,0.19298245012760162
10%=0.1,0.21052631735801697,0.15789473056793213,0.21052631735801697
11%=0.11,0.2631579041481018,0.21052631735801697,0.24561403691768646
12%=0.12,0.28070175647735596,0.24561403691768646,0.28070175647735596
13%=0.13,0.31578946113586426,0.28070175647735596,0.31578946113586426
14%=0.14,0.35087719559669495,0.31578946113586426,0.35087719559669495
15%=0.15,0.38596490025520325,0.35087719559669495,0.38596490025520325
1%=0.01,0.7142857313156128,0.7142857313156128,0.7142857313156128
2%=0.02,0.8571428656578064,0.8571428656578064,0.8571428656578064
3%=0.03,0.8571428656578064,0.8571428656578064,0.8571428656578064
4%=0.04,0.8571428656578064,1.0,1.0
5%=0.05,0.8571428656578064,1.0,1.0
6%=0.06,1.0,1.0,1.0
7%=0.07,1.0,1.0,1.0
8%=0.08,1.0,1.0,1.0
9%=0.09,1.0,1.0,1.0
10%=0.1,1.0,1.0,1.0
11%=0.11,1.0,1.0,1.0
12%=0.12,1.0,1.0,1.0
13%=0.13,1.0,1.0,1.0
14%=0.14,1.0,1.0,1.0
15%=0.15,1.0,1.0,1.0
1%=0.01,0.0,0.0,0.0
2%=0.02,0.0555555559694767,0.0555555559694767,0.0555555559694767
3%=0.03,0.1111111119389534,0.1111111119389534,0.1111111119389534
4%=0.04,0.1666666716337204,0.1666666716337204,0.1666666716337204
5%=0.05,0.1666666716337204,0.2222222238779068,0.2222222238779068
6%=0.06,0.2222222238779068,0.2222222238779068,0.2222222238779068
7%=0.07,0.2222222238779068,0.2222222238779068,0.2222222238779068
8%=0.08,0.2222222238779068,0.2777777910232544,0.2777777910232544
9%=0.09,0.2222222238779068,0.3333333432674408,0.3333333432674408
10%=0.1,0.2777777910232544,0.3888888955116272,0.3888888955116272
11%=0.11,0.2777777910232544,0.3888888955116272,0.3888888955116272
12%=0.12,0.3333333432674408,0.3888888955116272,0.3888888955116272
13%=0.13,0.3333333432674408,0.3888888955116272,0.3888888955116272
14%=0.14,0.3888888955116272,0.3888888955116272,0.3888888955116272
15%=0.15,0.3888888955116272,0.4444444477558136,0.3888888955116272
1%=0.01,0.2222222238779068,0.2222222238779068,0.2222222238779068
2%=0.02,0.2222222238779068,0.3333333432674408,0.3333333432674408
3%=0.03,0.6666666865348816,0.5555555820465088,0.5555555820465088
4%=0.04,0.6666666865348816,0.6666666865348816,0.6666666865348816
5%=0.05,0.7777777910232544,0.7777777910232544,0.7777777910232544
6%=0.06,0.8888888955116272,0.8888888955116272,0.8888888955116272
7%=0.07,0.8888888955116272,0.8888888955116272,0.8888888955116272
8%=0.08,0.8888888955116272,0.8888888955116272,1.0
9%=0.09,0.8888888955116272,1.0,1.0
10%=0.1,1.0,1.0,1.0
