JPMC(24),PrideWithMotifPride,TSPrideWithMotifCoreness
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.041666666666666664
6,0.0,0.041666666666666664
7,0.0,0.041666666666666664
8,0.0,0.08333333333333333
9,0.0,0.08333333333333333
10,0.0,0.08333333333333333
11,0.0,0.08333333333333333
12,0.0,0.08333333333333333
13,0.0,0.08333333333333333
14,0.0,0.08333333333333333
15,0.0,0.08333333333333333
16,0.0,0.08333333333333333
17,0.0,0.08333333333333333
18,0.0,0.125
19,0.0,0.125
20,0.0,0.125
21,0.0,0.125
22,0.041666666666666664,0.125
23,0.041666666666666664,0.125
24,0.041666666666666664,0.125
25,0.041666666666666664,0.16666666666666666
26,0.041666666666666664,0.16666666666666666
27,0.08333333333333333,0.20833333333333334
28,0.08333333333333333,0.20833333333333334
29,0.08333333333333333,0.20833333333333334
30,0.08333333333333333,0.20833333333333334
