log4j(9),PrideWithMotifPride,TSPrideWithMotifCoreness
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.1111111111111111,0.1111111111111111
5,0.1111111111111111,0.1111111111111111
6,0.1111111111111111,0.1111111111111111
7,0.1111111111111111,0.1111111111111111
8,0.1111111111111111,0.2222222222222222
9,0.1111111111111111,0.2222222222222222
10,0.2222222222222222,0.2222222222222222
11,0.2222222222222222,0.2222222222222222
12,0.2222222222222222,0.2222222222222222
13,0.2222222222222222,0.2222222222222222
14,0.2222222222222222,0.3333333333333333
15,0.2222222222222222,0.3333333333333333
16,0.3333333333333333,0.3333333333333333
17,0.3333333333333333,0.3333333333333333
18,0.3333333333333333,0.3333333333333333
19,0.3333333333333333,0.3333333333333333
20,0.3333333333333333,0.3333333333333333
21,0.3333333333333333,0.3333333333333333
22,0.3333333333333333,0.3333333333333333
23,0.3333333333333333,0.3333333333333333
24,0.3333333333333333,0.3333333333333333
25,0.3333333333333333,0.3333333333333333
26,0.3333333333333333,0.3333333333333333
27,0.3333333333333333,0.3333333333333333
28,0.3333333333333333,0.3333333333333333
29,0.3333333333333333,0.3333333333333333
30,0.3333333333333333,0.3333333333333333
