software07,BiMo-M,BiMo-B,BiMo
ant_main(10)7%=0.07,0.800000011920929,0.800000011920929,0.800000011920929
argouml(12)7%=0.07,0.9166666865348816,0.8333333134651184,0.9166666865348816
gwtportlets(27)7%=0.07,0.25925925374031067,0.29629629850387573,0.25925925374031067
javaclient(57)7%=0.07,0.12280701845884323,0.08771929889917374,0.12280701845884323
jedit(7)7%=0.07,1.0,1.0,1.0
jgap(18)7%=0.07,0.2222222238779068,0.2777777910232544,0.2777777910232544
jhotdraw(9)7%=0.07,0.8888888955116272,0.8888888955116272,0.8888888955116272
jmeter_core(14)7%=0.07,0.2857142984867096,0.3571428656578064,0.3571428656578064
JPMC(24)7%=0.07,0.0833333358168602,0.0,0.0833333358168602
log4j(9)7%=0.07,0.6666666865348816,0.6666666865348816,0.7777777910232544
Mars(29)7%=0.07,0.48275861144065857,0.4482758641242981,0.4482758641242981
Maze(27)7%=0.07,0.2222222238779068,0.25925925374031067,0.2222222238779068
neuroph(24)7%=0.07,0.3333333432674408,0.375,0.375
PDFBox(12)7%=0.07,0.5833333134651184,0.75,0.6666666865348816
tomcat(28)7%=0.07,0.6785714030265808,0.75,0.7857142686843872
wro4j(12)7%=0.07,1.0,1.0,1.0
Xerces(6)7%=0.07,0.3333333432674408,0.5,0.6666666865348816
xuml(37)7%=0.07,0.0,0.0,0.0
