ant_main(10),TSPrideWithMotifCoreness_new_lsi,TSPrideWithMotifCoreness_new_jsd,TSPrideWithMotifCoreness_new_vsm
1%=0.01,0.4000000059604645,0.4000000059604645,0.4000000059604645
2%=0.02,0.5,0.5,0.5
3%=0.03,0.699999988079071,0.800000011920929,0.699999988079071
4%=0.04,0.800000011920929,0.800000011920929,0.800000011920929
5%=0.05,0.800000011920929,0.800000011920929,0.800000011920929
6%=0.06,0.800000011920929,0.800000011920929,0.800000011920929
7%=0.07,0.800000011920929,0.800000011920929,0.800000011920929
8%=0.08,0.800000011920929,0.800000011920929,0.800000011920929
9%=0.09,0.800000011920929,0.800000011920929,0.800000011920929
10%=0.1,0.800000011920929,0.8999999761581421,0.8999999761581421
11%=0.11,0.8999999761581421,0.8999999761581421,0.8999999761581421
12%=0.12,0.8999999761581421,0.8999999761581421,0.8999999761581421
13%=0.13,0.8999999761581421,0.8999999761581421,0.8999999761581421
14%=0.14,0.8999999761581421,0.8999999761581421,0.8999999761581421
15%=0.15,0.8999999761581421,0.8999999761581421,0.8999999761581421
1%=0.01,0.4166666567325592,0.5,0.5
2%=0.02,0.5833333134651184,0.5833333134651184,0.6666666865348816
3%=0.03,0.8333333134651184,0.8333333134651184,0.8333333134651184
4%=0.04,1.0,1.0,1.0
5%=0.05,1.0,1.0,1.0
6%=0.06,1.0,1.0,1.0
7%=0.07,1.0,1.0,1.0
8%=0.08,1.0,1.0,1.0
9%=0.09,1.0,1.0,1.0
10%=0.1,1.0,1.0,1.0
11%=0.11,1.0,1.0,1.0
12%=0.12,1.0,1.0,1.0
13%=0.13,1.0,1.0,1.0
14%=0.14,1.0,1.0,1.0
15%=0.15,1.0,1.0,1.0
1%=0.01,0.03703703731298447,0.03703703731298447,0.03703703731298447
2%=0.02,0.07407407462596893,0.07407407462596893,0.07407407462596893
3%=0.03,0.1111111119389534,0.1111111119389534,0.1111111119389534
4%=0.04,0.14814814925193787,0.14814814925193787,0.14814814925193787
5%=0.05,0.2222222238779068,0.2222222238779068,0.2222222238779068
6%=0.06,0.25925925374031067,0.25925925374031067,0.2222222238779068
7%=0.07,0.25925925374031067,0.25925925374031067,0.25925925374031067
8%=0.08,0.25925925374031067,0.25925925374031067,0.29629629850387573
9%=0.09,0.29629629850387573,0.29629629850387573,0.29629629850387573
