ant_main(10),BiMo-M,BiMo-B,BiMo
1%=0.01,0.30000001192092896,0.20000000298023224,0.4000000059604645
2%=0.02,0.5,0.5,0.6000000238418579
3%=0.03,0.699999988079071,0.699999988079071,0.699999988079071
4%=0.04,0.699999988079071,0.699999988079071,0.699999988079071
5%=0.05,0.800000011920929,0.699999988079071,0.699999988079071
6%=0.06,0.800000011920929,0.699999988079071,0.699999988079071
7%=0.07,0.800000011920929,0.800000011920929,0.800000011920929
8%=0.08,0.800000011920929,0.800000011920929,0.800000011920929
9%=0.09,0.800000011920929,0.800000011920929,0.800000011920929
10%=0.1,0.800000011920929,0.800000011920929,0.800000011920929
11%=0.11,0.800000011920929,0.800000011920929,0.8999999761581421
12%=0.12,0.800000011920929,0.800000011920929,0.8999999761581421
13%=0.13,0.800000011920929,0.800000011920929,0.8999999761581421
14%=0.14,0.8999999761581421,0.800000011920929,0.8999999761581421
15%=0.15,0.8999999761581421,0.8999999761581421,0.8999999761581421
